DT,distance(Km),heart,pace
2024-03-13 20:04:34,5.42,,6:34
2024-03-14 19:44:47,10.13,,5:53
2024-03-16 06:26:17,16.06,,6:17
2024-03-18 19:26:38,0.94,,9:46
2024-03-19 05:58:37,10.00,,6:00
2024-03-20 19:52:03,4.98,,7:47
2024-03-20 20:35:49,2.56,,8:19
2024-03-21 19:59:13,10.04,,4:56
2024-03-23 05:53:35,21.11,,6:13
2024-03-25 18:21:47,7.16,,5:50
2024-03-27 19:17:42,13.69,,5:56
2024-03-29 19:40:09,15.23,,6:17
2024-03-31 19:13:50,5.00,,7:33
2024-04-01 19:50:06,2.71,,7:26
2024-04-01 20:11:28,4.51,,5:24
2024-04-02 19:57:11,5.82,,6:37
2024-04-02 20:42:14,3.01,,4:32
2024-04-06 19:45:38,12.01,,5:06
2024-04-09 19:40:23,6.83,,6:25
2024-04-09 20:26:29,8.12,,5:12
2024-04-11 19:42:47,5.89,,5:53
2024-04-14 08:01:46,21.22,,5:20
2024-04-18 20:26:15,5.43,,5:51
2024-04-21 15:43:55,1.78,,7:59
2024-04-22 20:17:30,5.03,,5:21
2024-04-22 20:51:17,0.42,,4:07
2024-04-22 20:54:24,0.42,,3:49
2024-04-22 20:57:28,0.42,,3:54
2024-04-24 19:49:42,6.01,,7:09
2024-04-24 20:39:23,2.25,,5:32
2024-04-27 06:47:40,14.43,,6:24
2024-04-28 19:42:34,5.98,,8:22
2024-05-02 09:04:07,1.02,,5:17
2024-05-02 09:10:31,2.03,,4:48
2024-05-02 09:27:16,0.99,,6:13
2024-05-06 18:12:44,10.05,,5:55
2024-05-08 05:47:29,9.02,,6:32
2024-05-09 18:14:36,4.02,,4:56
2024-05-09 18:38:08,1.99,,4:42
2024-05-09 18:50:33,6.03,,5:43
2024-05-10 20:00:06,5.02,,7:17
2024-05-14 19:02:00,12.01,165,5:10
